#
#	Name:             GB12345-80 to Unicode table (complete, hex format)
#	Unicode version:  1.1
#	Table version:    0.0d1
#	Table format:     Format A
#	Date:             6 December 1993
#	Author:           Glenn Adams <glenn@metis.com>
#                     John H. Jenkins <John_Jenkins@taligent.com>
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#	This table contains the data Metis and Taligent currently have on how
#       GB12345-90 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB12345 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB12345 order
#
#	The following algorithms can be used to change the hex form
#		of GB12345 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Any comments or problems, contact <John_Jenkins@taligent.com>
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x4D73	0x8155	# <CJK>
0x4D74	0x6C6A	# <CJK>
0x4D75	0x738B	# <CJK>
0x4D76	0x4EA1	# <CJK>
0x4D77	0x6789	# <CJK>
0x4D78	0x7DB2	# <CJK>
0x4D79	0x5F80	# <CJK>
0x4D7A	0x65FA	# <CJK>
0x4D7B	0x671B	# <CJK>
0x4D7C	0x5FD8	# <CJK>
0x4D7D	0x5984	# <CJK>
0x4D7E	0x5A01	# <CJK>
0x4E21	0x5DCD	# <CJK>
0x4E22	0x5FAE	# <CJK>
0x4E23	0x5371	# <CJK>
0x4E24	0x97CB	# <CJK>
0x4E25	0x9055	# <CJK>
0x4E26	0x6845	# <CJK>
0x4E27	0x570D	# <CJK>
0x4E28	0x552F	# <CJK>
0x4E29	0x60DF	# <CJK>
0x4E2A	0x7232	# <CJK>
0x4E2B	0x6FF0	# <CJK>
0x4E2C	0x7DAD	# <CJK>
0x4E2D	0x8466	# <CJK>
0x4E2E	0x840E	# <CJK>
0x4E2F	0x59D4	# <CJK>
0x4E30	0x5049	# <CJK>
0x4E31	0x50DE	# <CJK>
0x4E32	0x5C3E	# <CJK>
0x4E33	0x7DEF	# <CJK>
0x4E34	0x672A	# <CJK>
0x4E35	0x851A	# <CJK>
0x4E36	0x5473	# <CJK>
0x4E37	0x754F	# <CJK>
0x4E38	0x80C3	# <CJK>
0x4E39	0x5582	# <CJK>
0x4E3A	0x9B4F	# <CJK>
0x4E3B	0x4F4D	# <CJK>
0x4E3C	0x6E2D	# <CJK>
0x4E3D	0x8B02	# <CJK>
0x4E3E	0x5C09	# <CJK>
0x4E3F	0x6170	# <CJK>
0x4E40	0x885B	# <CJK>
0x4E41	0x761F	# <CJK>
0x4E42	0x6E29	# <CJK>
0x4E43	0x868A	# <CJK>
0x4E44	0x6587	# <CJK>
0x4E45	0x805E	# <CJK>
0x4E46	0x7D0B	# <CJK>
0x4E47	0x543B	# <CJK>
0x4E48	0x7A69	# <CJK>
0x4E49	0x7D0A	# <CJK>
0x4E4A	0x554F	# <CJK>
0x4E4B	0x55E1	# <CJK>
0x4E4C	0x7FC1	# <CJK>
0x4E4D	0x74EE	# <CJK>
0x4E4E	0x64BE	# <CJK>
0x4E4F	0x8778	# <CJK>
0x4E50	0x6E26	# <CJK>
0x4E51	0x7AA9	# <CJK>
0x4E52	0x6211	# <CJK>
0x4E53	0x65A1	# <CJK>
0x4E54	0x5367	# <CJK>
0x4E55	0x63E1	# <CJK>
0x4E56	0x6C83	# <CJK>
0x4E57	0x5DEB	# <CJK>
0x4E58	0x55DA	# <CJK>
0x4E59	0x93A2	# <CJK>
0x4E5A	0x70CF	# <CJK>
0x4E5B	0x6C61	# <CJK>
0x4E5C	0x8AA3	# <CJK>
0x4E5D	0x5C4B	# <CJK>
0x4E5E	0x7121	# <CJK>
0x4E5F	0x856A	# <CJK>
0x4E60	0x68A7	# <CJK>
0x4E61	0x543E	# <CJK>
0x4E62	0x5434	# <CJK>
0x4E63	0x6BCB	# <CJK>
0x4E64	0x6B66	# <CJK>
0x4E65	0x4E94	# <CJK>
0x4E66	0x6342	# <CJK>
0x4E67	0x5348	# <CJK>
0x4E68	0x821E	# <CJK>
0x4E69	0x4F0D	# <CJK>
0x4E6A	0x4FAE	# <CJK>
0x4E6B	0x5862	# <CJK>
0x4E6C	0x620A	# <CJK>
0x4E6D	0x9727	# <CJK>
0x4E6E	0x6664	# <CJK>
0x4E6F	0x7269	# <CJK>
0x4E70	0x52FF	# <CJK>
0x4E71	0x52D9	# <CJK>
0x4E72	0x609F	# <CJK>
0x4E73	0x8AA4	# <CJK>
0x4E74	0x6614	# <CJK>
0x4E75	0x7199	# <CJK>
0x4E76	0x6790	# <CJK>
0x4E77	0x897F	# <CJK>
0x4E78	0x7852	# <CJK>
0x4E79	0x77FD	# <CJK>
0x4E7A	0x6670	# <CJK>
0x4E7B	0x563B	# <CJK>
0x4E7C	0x5438	# <CJK>
0x4E7D	0x932B	# <CJK>
0x4E7E	0x72A7	# <CJK>
0x4F21	0x7A00	# <CJK>
0x4F22	0x606F	# <CJK>
0x4F23	0x5E0C	# <CJK>
0x4F24	0x6089	# <CJK>
0x4F25	0x819D	# <CJK>
0x4F26	0x5915	# <CJK>
0x4F27	0x60DC	# <CJK>
0x4F28	0x7184	# <CJK>
0x4F29	0x70EF	# <CJK>
0x4F2A	0x6EAA	# <CJK>
0x4F2B	0x6C50	# <CJK>
0x4F2C	0x7280	# <CJK>
0x4F2D	0x6A84	# <CJK>
0x4F2E	0x8972	# <CJK>
0x4F2F	0x5E2D	# <CJK>
0x4F30	0x7FD2	# <CJK>
0x4F31	0x5AB3	# <CJK>
0x4F32	0x559C	# <CJK>
0x4F33	0x9291	# <CJK>
0x4F34	0x6D17	# <CJK>
0x4F35	0x7CFB	# <CJK>
0x4F36	0x9699	# <CJK>
0x4F37	0x6232	# <CJK>
0x4F38	0x7D30	# <CJK>
0x4F39	0x778E	# <CJK>
0x4F3A	0x8766	# <CJK>
0x4F3B	0x5323	# <CJK>
0x4F3C	0x971E	# <CJK>
0x4F3D	0x8F44	# <CJK>
0x4F3E	0x6687	# <CJK>
0x4F3F	0x5CFD	# <CJK>
0x4F40	0x4FE0	# <CJK>
0x4F41	0x72F9	# <CJK>
0x4F42	0x4E0B	# <CJK>
0x4F43	0x53A6	# <CJK>
0x4F44	0x590F	# <CJK>
0x4F45	0x5687	# <CJK>
0x4F46	0x6380	# <CJK>
0x4F47	0x9341	# <CJK>
0x4F48	0x5148	# <CJK>
0x4F49	0x4ED9	# <CJK>
0x4F4A	0x9BAE	# <CJK>
0x4F4B	0x7E96	# <CJK>
0x4F4C	0x54B8	# <CJK>
0x4F4D	0x8CE2	# <CJK>
0x4F4E	0x929C	# <CJK>
0x4F4F	0x8237	# <CJK>
0x4F50	0x9591	# <CJK>
0x4F51	0x6D8E	# <CJK>
0x4F52	0x5F26	# <CJK>
0x4F53	0x5ACC	# <CJK>
0x4F54	0x986F	# <CJK>
0x4F55	0x96AA	# <CJK>
0x4F56	0x73FE	# <CJK>
0x4F57	0x737B	# <CJK>
0x4F58	0x7E23	# <CJK>
0x4F59	0x817A	# <CJK>
0x4F5A	0x9921	# <CJK>
0x4F5B	0x7FA1	# <CJK>
0x4F5C	0x61B2	# <CJK>
0x4F5D	0x9677	# <CJK>
0x4F5E	0x9650	# <CJK>
0x4F5F	0x7DAB	# <CJK>
0x4F60	0x76F8	# <CJK>
0x4F61	0x53A2	# <CJK>
0x4F62	0x9472	# <CJK>
0x4F63	0x9999	# <CJK>
0x4F64	0x7BB1	# <CJK>
0x4F65	0x8944	# <CJK>
0x4F66	0x6E58	# <CJK>
0x4F67	0x9109	# <CJK>
0x4F68	0x7FD4	# <CJK>
0x4F69	0x7965	# <CJK>
0x4F6A	0x8A73	# <CJK>
0x4F6B	0x60F3	# <CJK>
0x4F6C	0x97FF	# <CJK>
0x4F6D	0x4EAB	# <CJK>
0x4F6E	0x9805	# <CJK>
0x4F6F	0x5DF7	# <CJK>
0x4F70	0x6A61	# <CJK>
0x4F71	0x50CF	# <CJK>
0x4F72	0x5411	# <CJK>
0x4F73	0x8C61	# <CJK>
0x4F74	0x856D	# <CJK>
0x4F75	0x785D	# <CJK>
0x4F76	0x9704	# <CJK>
0x4F77	0x524A	# <CJK>
0x4F78	0x54EE	# <CJK>
0x4F79	0x56C2	# <CJK>
0x4F7A	0x92B7	# <CJK>
0x4F7B	0x6D88	# <CJK>
0x4F7C	0x5BB5	# <CJK>
0x4F7D	0x6DC6	# <CJK>
0x4F7E	0x66C9	# <CJK>
0x5021	0x5C0F	# <CJK>
0x5022	0x5B5D	# <CJK>
0x5023	0x6821	# <CJK>
0x5024	0x8096	# <CJK>
0x5025	0x562F	# <CJK>
0x5026	0x7B11	# <CJK>
0x5027	0x6548	# <CJK>
0x5028	0x6954	# <CJK>
0x5029	0x4E9B	# <CJK>
0x502A	0x6B47	# <CJK>
0x502B	0x874E	# <CJK>
0x502C	0x978B	# <CJK>
0x502D	0x5354	# <CJK>
0x502E	0x633E	# <CJK>
0x502F	0x643A	# <CJK>
0x5030	0x90AA	# <CJK>
0x5031	0x659C	# <CJK>
0x5032	0x8105	# <CJK>
0x5033	0x8AE7	# <CJK>
0x5034	0x5BEB	# <CJK>
0x5035	0x68B0	# <CJK>
0x5036	0x5378	# <CJK>
0x5037	0x87F9	# <CJK>
0x5038	0x61C8	# <CJK>
0x5039	0x6CC4	# <CJK>
0x503A	0x7009	# <CJK>
0x503B	0x8B1D	# <CJK>
0x503C	0x5C51	# <CJK>
0x503D	0x85AA	# <CJK>
0x503E	0x82AF	# <CJK>
0x503F	0x92C5	# <CJK>
0x5040	0x6B23	# <CJK>
0x5041	0x8F9B	# <CJK>
0x5042	0x65B0	# <CJK>
0x5043	0x5FFB	# <CJK>
0x5044	0x5FC3	# <CJK>
0x5045	0x4FE1	# <CJK>
0x5046	0x91C1	# <CJK>
0x5047	0x661F	# <CJK>
0x5048	0x8165	# <CJK>
0x5049	0x7329	# <CJK>
0x504A	0x60FA	# <CJK>
0x504B	0x8208	# <CJK>
0x504C	0x5211	# <CJK>
0x504D	0x578B	# <CJK>
0x504E	0x5F62	# <CJK>
0x504F	0x90A2	# <CJK>
0x5050	0x884C	# <CJK>
0x5051	0x9192	# <CJK>
0x5052	0x5E78	# <CJK>
0x5053	0x674F	# <CJK>
0x5054	0x6027	# <CJK>
0x5055	0x59D3	# <CJK>
0x5056	0x5144	# <CJK>
0x5057	0x51F6	# <CJK>
0x5058	0x80F8	# <CJK>
0x5059	0x5308	# <CJK>
0x505A	0x6C79	# <CJK>
0x505B	0x96C4	# <CJK>
0x505C	0x718A	# <CJK>
0x505D	0x4F11	# <CJK>
0x505E	0x4FEE	# <CJK>
0x505F	0x7F9E	# <CJK>
0x5060	0x673D	# <CJK>
0x5061	0x55C5	# <CJK>
0x5062	0x92B9	# <CJK>
0x5063	0x79C0	# <CJK>
0x5064	0x8896	# <CJK>
0x5065	0x7D89	# <CJK>
0x5066	0x589F	# <CJK>
0x5067	0x620C	# <CJK>
0x5068	0x9700	# <CJK>
0x5069	0x865A	# <CJK>
0x506A	0x5618	# <CJK>
0x506B	0x9808	# <CJK>
0x506C	0x5F90	# <CJK>
0x506D	0x8A31	# <CJK>
0x506E	0x84C4	# <CJK>
0x506F	0x9157	# <CJK>
0x5070	0x53D9	# <CJK>
0x5071	0x65ED	# <CJK>
0x5072	0x5E8F	# <CJK>
0x5073	0x755C	# <CJK>
0x5074	0x6064	# <CJK>
0x5075	0x7D6E	# <CJK>
0x5076	0x5A7F	# <CJK>
0x5077	0x7DD2	# <CJK>
0x5078	0x7E8C	# <CJK>
0x5079	0x8ED2	# <CJK>
0x507A	0x55A7	# <CJK>
0x507B	0x5BA3	# <CJK>
0x507C	0x61F8	# <CJK>
0x507D	0x65CB	# <CJK>
0x507E	0x7384	# <CJK>
0x5121	0x9078	# <CJK>
0x5122	0x766C	# <CJK>
0x5123	0x7729	# <CJK>
0x5124	0x7D62	# <CJK>
0x5125	0x9774	# <CJK>
0x5126	0x859B	# <CJK>
0x5127	0x5B78	# <CJK>
0x5128	0x7A74	# <CJK>
0x5129	0x96EA	# <CJK>
0x512A	0x8840	# <CJK>
0x512B	0x52DB	# <CJK>
0x512C	0x718F	# <CJK>
0x512D	0x5FAA	# <CJK>
0x512E	0x65EC	# <CJK>
0x512F	0x8A62	# <CJK>
0x5130	0x5C0B	# <CJK>
0x5131	0x99B4	# <CJK>
0x5132	0x5DE1	# <CJK>
0x5133	0x6B89	# <CJK>
0x5134	0x6C5B	# <CJK>
0x5135	0x8A13	# <CJK>
0x5136	0x8A0A	# <CJK>
0x5137	0x905C	# <CJK>
0x5138	0x8FC5	# <CJK>
0x5139	0x58D3	# <CJK>
0x513A	0x62BC	# <CJK>
0x513B	0x9D09	# <CJK>
0x513C	0x9D28	# <CJK>
0x513D	0x5440	# <CJK>
0x513E	0x4E2B	# <CJK>
0x513F	0x82BD	# <CJK>
0x5140	0x7259	# <CJK>
0x5141	0x869C	# <CJK>
0x5142	0x5D16	# <CJK>
0x5143	0x8859	# <CJK>
0x5144	0x6DAF	# <CJK>
0x5145	0x96C5	# <CJK>
0x5146	0x555E	# <CJK>
0x5147	0x4E9E	# <CJK>
0x5148	0x8A1D	# <CJK>
0x5149	0x7109	# <CJK>
0x514A	0x54BD	# <CJK>
0x514B	0x95B9	# <CJK>
0x514C	0x70DF	# <CJK>
0x514D	0x6DF9	# <CJK>
0x514E	0x9E7D	# <CJK>
0x514F	0x56B4	# <CJK>
0x5150	0x7814	# <CJK>
0x5151	0x8712	# <CJK>
0x5152	0x5CA9	# <CJK>
0x5153	0x5EF6	# <CJK>
0x5154	0x8A00	# <CJK>
0x5155	0x9854	# <CJK>
0x5156	0x95BB	# <CJK>
0x5157	0x708E	# <CJK>
0x5158	0x6CBF	# <CJK>
0x5159	0x5944	# <CJK>
0x515A	0x63A9	# <CJK>
0x515B	0x773C	# <CJK>
0x515C	0x884D	# <CJK>
0x515D	0x6F14	# <CJK>
0x515E	0x8277	# <CJK>
0x515F	0x5830	# <CJK>
0x5160	0x71D5	# <CJK>
0x5161	0x53AD	# <CJK>
0x5162	0x786F	# <CJK>
0x5163	0x96C1	# <CJK>
0x5164	0x5501	# <CJK>
0x5165	0x5F66	# <CJK>
0x5166	0x7130	# <CJK>
0x5167	0x5BB4	# <CJK>
0x5168	0x8AFA	# <CJK>
0x5169	0x9A57	# <CJK>
0x516A	0x6B83	# <CJK>
0x516B	0x592E	# <CJK>
0x516C	0x9D26	# <CJK>
0x516D	0x79E7	# <CJK>
0x516E	0x694A	# <CJK>
0x516F	0x63DA	# <CJK>
0x5170	0x4F6F	# <CJK>
0x5171	0x760D	# <CJK>
0x5172	0x7F8A	# <CJK>
0x5173	0x6D0B	# <CJK>
0x5174	0x967D	# <CJK>
0x5175	0x6C27	# <CJK>
0x5176	0x4EF0	# <CJK>
0x5177	0x7662	# <CJK>
0x5178	0x990A	# <CJK>
0x5179	0x6A23	# <CJK>
0x517A	0x6F3E	# <CJK>
0x517B	0x9080	# <CJK>
0x517C	0x8170	# <CJK>
0x517D	0x5996	# <CJK>
0x517E	0x7476	# <CJK>
0x5221	0x6447	# <CJK>
0x5222	0x582F	# <CJK>
0x5223	0x9065	# <CJK>
0x5224	0x7A91	# <CJK>
0x5225	0x8B21	# <CJK>
0x5226	0x59DA	# <CJK>
0x5227	0x54AC	# <CJK>
0x5228	0x8200	# <CJK>
0x5229	0x85E5	# <CJK>
0x522A	0x8981	# <CJK>
0x522B	0x8000	# <CJK>
0x522C	0x6930	# <CJK>
0x522D	0x564E	# <CJK>
0x522E	0x8036	# <CJK>
0x522F	0x723A	# <CJK>
0x5230	0x91CE	# <CJK>
0x5231	0x51B6	# <CJK>
0x5232	0x4E5F	# <CJK>
0x5233	0x9801	# <CJK>
0x5234	0x6396	# <CJK>
0x5235	0x696D	# <CJK>
0x5236	0x8449	# <CJK>
0x5237	0x66F3	# <CJK>
0x5238	0x814B	# <CJK>
0x5239	0x591C	# <CJK>
0x523A	0x6DB2	# <CJK>
0x523B	0x4E00	# <CJK>
0x523C	0x58F9	# <CJK>
0x523D	0x91AB	# <CJK>
0x523E	0x63D6	# <CJK>
0x523F	0x92A5	# <CJK>
0x5240	0x4F9D	# <CJK>
0x5241	0x4F0A	# <CJK>
0x5242	0x8863	# <CJK>
0x5243	0x9824	# <CJK>
0x5244	0x5937	# <CJK>
0x5245	0x907A	# <CJK>
0x5246	0x79FB	# <CJK>
0x5247	0x5100	# <CJK>
0x5248	0x80F0	# <CJK>
0x5249	0x7591	# <CJK>
0x524A	0x6C82	# <CJK>
0x524B	0x5B9C	# <CJK>
0x524C	0x59E8	# <CJK>
0x524D	0x5F5D	# <CJK>
0x524E	0x6905	# <CJK>
0x524F	0x87FB	# <CJK>
0x5250	0x501A	# <CJK>
0x5251	0x5DF2	# <CJK>
0x5252	0x4E59	# <CJK>
0x5253	0x77E3	# <CJK>
0x5254	0x4EE5	# <CJK>
0x5255	0x85DD	# <CJK>
0x5256	0x6291	# <CJK>
0x5257	0x6613	# <CJK>
0x5258	0x9091	# <CJK>
0x5259	0x5C79	# <CJK>
0x525A	0x5104	# <CJK>
0x525B	0x5F79	# <CJK>
0x525C	0x81C6	# <CJK>
0x525D	0x9038	# <CJK>
0x525E	0x8084	# <CJK>
0x525F	0x75AB	# <CJK>
0x5260	0x4EA6	# <CJK>
0x5261	0x88D4	# <CJK>
0x5262	0x610F	# <CJK>
0x5263	0x6BC5	# <CJK>
0x5264	0x61B6	# <CJK>
0x5265	0x7FA9	# <CJK>
0x5266	0x76CA	# <CJK>
0x5267	0x6EA2	# <CJK>
0x5268	0x8A63	# <CJK>
0x5269	0x8B70	# <CJK>
0x526A	0x8ABC	# <CJK>
0x526B	0x8B6F	# <CJK>
0x526C	0x5F02	# <CJK>
0x526D	0x7FFC	# <CJK>
0x526E	0x7FCC	# <CJK>
0x526F	0x7E79	# <CJK>
0x5270	0x8335	# <CJK>
0x5271	0x852D	# <CJK>
0x5272	0x56E0	# <CJK>
0x5273	0x6BB7	# <CJK>
0x5274	0x97F3	# <CJK>
0x5275	0x9670	# <CJK>
0x5276	0x59FB	# <CJK>
0x5277	0x541F	# <CJK>
0x5278	0x9280	# <CJK>
0x5279	0x6DEB	# <CJK>
0x527A	0x5BC5	# <CJK>
0x527B	0x98F2	# <CJK>
0x527C	0x5C39	# <CJK>
0x527D	0x5F15	# <CJK>
0x527E	0x96B1	# <CJK>
0x5321	0x5370	# <CJK>
0x5322	0x82F1	# <CJK>
0x5323	0x6AFB	# <CJK>
0x5324	0x5B30	# <CJK>
0x5325	0x9DF9	# <CJK>
0x5326	0x61C9	# <CJK>
0x5327	0x7E93	# <CJK>
0x5328	0x7469	# <CJK>
0x5329	0x87A2	# <CJK>
0x532A	0x71DF	# <CJK>
0x532B	0x7192	# <CJK>
0x532C	0x8805	# <CJK>
0x532D	0x8FCE	# <CJK>
0x532E	0x8D0F	# <CJK>
0x532F	0x76C8	# <CJK>
0x5330	0x5F71	# <CJK>
0x5331	0x7A4E	# <CJK>
0x5332	0x786C	# <CJK>
0x5333	0x6620	# <CJK>
0x5334	0x55B2	# <CJK>
0x5335	0x64C1	# <CJK>
0x5336	0x50AD	# <CJK>
0x5337	0x81C3	# <CJK>
0x5338	0x7670	# <CJK>
0x5339	0x5EB8	# <CJK>
0x533A	0x96CD	# <CJK>
0x533B	0x8E34	# <CJK>
0x533C	0x86F9	# <CJK>
0x533D	0x548F	# <CJK>
0x533E	0x6CF3	# <CJK>
0x533F	0x6D8C	# <CJK>
0x5340	0x6C38	# <CJK>
0x5341	0x607F	# <CJK>
0x5342	0x52C7	# <CJK>
0x5343	0x7528	# <CJK>
0x5344	0x5E7D	# <CJK>
0x5345	0x512A	# <CJK>
0x5346	0x60A0	# <CJK>
0x5347	0x6182	# <CJK>
0x5348	0x5C24	# <CJK>
0x5349	0x7531	# <CJK>
0x534A	0x90F5	# <CJK>
0x534B	0x923E	# <CJK>
0x534C	0x7336	# <CJK>
0x534D	0x6CB9	# <CJK>
0x534E	0x6E38	# <CJK>
0x534F	0x9149	# <CJK>
0x5350	0x6709	# <CJK>
0x5351	0x53CB	# <CJK>
0x5352	0x53F3	# <CJK>
0x5353	0x4F51	# <CJK>
0x5354	0x91C9	# <CJK>
0x5355	0x8A98	# <CJK>
0x5356	0x53C8	# <CJK>
0x5357	0x5E7C	# <CJK>
0x5358	0x8FC2	# <CJK>
0x5359	0x6DE4	# <CJK>
0x535A	0x4E8E	# <CJK>
0x535B	0x76C2	# <CJK>
0x535C	0x6986	# <CJK>
0x535D	0x865E	# <CJK>
0x535E	0x611A	# <CJK>
0x535F	0x8F3F	# <CJK>
0x5360	0x9918	# <CJK>
0x5361	0x4FDE	# <CJK>
0x5362	0x903E	# <CJK>
0x5363	0x9B5A	# <CJK>
0x5364	0x6109	# <CJK>
0x5365	0x6E1D	# <CJK>
0x5366	0x6F01	# <CJK>
0x5367	0x9685	# <CJK>
0x5368	0x4E88	# <CJK>
0x5369	0x5A31	# <CJK>
0x536A	0x96E8	# <CJK>
0x536B	0x8207	# <CJK>
0x536C	0x5DBC	# <CJK>
0x536D	0x79B9	# <CJK>
0x536E	0x5B87	# <CJK>
0x536F	0x8A9E	# <CJK>
0x5370	0x7FBD	# <CJK>
0x5371	0x7389	# <CJK>
0x5372	0x57DF	# <CJK>
0x5373	0x828B	# <CJK>
0x5374	0x9B31	# <CJK>
0x5375	0x5401	# <CJK>
0x5376	0x9047	# <CJK>
0x5377	0x55BB	# <CJK>
0x5378	0x5CEA	# <CJK>
0x5379	0x5FA1	# <CJK>
0x537A	0x6108	# <CJK>
0x537B	0x6B32	# <CJK>
0x537C	0x7344	# <CJK>
0x537D	0x80B2	# <CJK>
0x537E	0x8B7D	# <CJK>
0x5421	0x6D74	# <CJK>
0x5422	0x5BD3	# <CJK>
0x5423	0x88D5	# <CJK>
0x5424	0x9810	# <CJK>
0x5425	0x8C6B	# <CJK>
0x5426	0x99AD	# <CJK>
0x5427	0x9D1B	# <CJK>
0x5428	0x6DF5	# <CJK>
0x5429	0x51A4	# <CJK>
0x542A	0x5143	# <CJK>
0x542B	0x57A3	# <CJK>
0x542C	0x8881	# <CJK>
0x542D	0x539F	# <CJK>
0x542E	0x63F4	# <CJK>
0x542F	0x8F45	# <CJK>
0x5430	0x5712	# <CJK>
0x5431	0x54E1	# <CJK>
0x5432	0x5713	# <CJK>
0x5433	0x733F	# <CJK>
0x5434	0x6E90	# <CJK>
0x5435	0x7DE3	# <CJK>
0x5436	0x9060	# <CJK>
0x5437	0x82D1	# <CJK>
0x5438	0x9858	# <CJK>
0x5439	0x6028	# <CJK>
0x543A	0x9662	# <CJK>
0x543B	0x66F0	# <CJK>
0x543C	0x7D04	# <CJK>
0x543D	0x8D8A	# <CJK>
0x543E	0x8E8D	# <CJK>
0x543F	0x9470	# <CJK>
0x5440	0x5CB3	# <CJK>
0x5441	0x7CA4	# <CJK>
0x5442	0x6708	# <CJK>
0x5443	0x60A6	# <CJK>
0x5444	0x95B2	# <CJK>
0x5445	0x8018	# <CJK>
0x5446	0x96F2	# <CJK>
0x5447	0x9116	# <CJK>
0x5448	0x5300	# <CJK>
0x5449	0x9695	# <CJK>
0x544A	0x5141	# <CJK>
0x544B	0x904B	# <CJK>
0x544C	0x85F4	# <CJK>
0x544D	0x9196	# <CJK>
0x544E	0x6688	# <CJK>
0x544F	0x97F5	# <CJK>
0x5450	0x5B55	# <CJK>
0x5451	0x531D	# <CJK>
0x5452	0x7838	# <CJK>
0x5453	0x96DC	# <CJK>
0x5454	0x683D	# <CJK>
0x5455	0x54C9	# <CJK>
0x5456	0x707E	# <CJK>
0x5457	0x5BB0	# <CJK>
0x5458	0x8F09	# <CJK>
0x5459	0x518D	# <CJK>
0x545A	0x5728	# <CJK>
0x545B	0x54B1	# <CJK>
0x545C	0x6522	# <CJK>
0x545D	0x66AB	# <CJK>
0x545E	0x8D0A	# <CJK>
0x545F	0x8D1C	# <CJK>
0x5460	0x81DF	# <CJK>
0x5461	0x846C	# <CJK>
0x5462	0x906D	# <CJK>
0x5463	0x7CDF	# <CJK>
0x5464	0x947F	# <CJK>
0x5465	0x85FB	# <CJK>
0x5466	0x68D7	# <CJK>
0x5467	0x65E9	# <CJK>
0x5468	0x6FA1	# <CJK>
0x5469	0x86A4	# <CJK>
0x546A	0x8E81	# <CJK>
0x546B	0x566A	# <CJK>
0x546C	0x9020	# <CJK>
0x546D	0x7682	# <CJK>
0x546E	0x7AC8	# <CJK>
0x546F	0x71E5	# <CJK>
0x5470	0x8CAC	# <CJK>
0x5471	0x64C7	# <CJK>
0x5472	0x5247	# <CJK>
0x5473	0x6FA4	# <CJK>
0x5474	0x8CCA	# <CJK>
0x5475	0x600E	# <CJK>
0x5476	0x589E	# <CJK>
0x5477	0x618E	# <CJK>
0x5478	0x66FE	# <CJK>
0x5479	0x8D08	# <CJK>
0x547A	0x624E	# <CJK>
0x547B	0x55B3	# <CJK>
0x547C	0x6E23	# <CJK>
0x547D	0x672D	# <CJK>
0x547E	0x8ECB	# <CJK>
0x5521	0x9358	# <CJK>
0x5522	0x9598	# <CJK>
0x5523	0x7728	# <CJK>
0x5524	0x6805	# <CJK>
0x5525	0x69A8	# <CJK>
0x5526	0x548B	# <CJK>
0x5527	0x4E4D	# <CJK>
0x5528	0x70B8	# <CJK>
0x5529	0x8A50	# <CJK>
0x552A	0x6458	# <CJK>
0x552B	0x9F4B	# <CJK>
0x552C	0x5B85	# <CJK>
0x552D	0x7A84	# <CJK>
0x552E	0x50B5	# <CJK>
0x552F	0x5BE8	# <CJK>
0x5530	0x77BB	# <CJK>
0x5531	0x6C08	# <CJK>
0x5532	0x8A79	# <CJK>
0x5533	0x7C98	# <CJK>
0x5534	0x6CBE	# <CJK>
0x5535	0x76DE	# <CJK>
0x5536	0x65AC	# <CJK>
0x5537	0x8F3E	# <CJK>
0x5538	0x5D84	# <CJK>
0x5539	0x5C55	# <CJK>
0x553A	0x8638	# <CJK>
0x553B	0x68E7	# <CJK>
0x553C	0x5360	# <CJK>
0x553D	0x6230	# <CJK>
0x553E	0x7AD9	# <CJK>
0x553F	0x6E5B	# <CJK>
0x5540	0x7DBB	# <CJK>
0x5541	0x6A1F	# <CJK>
0x5542	0x7AE0	# <CJK>
0x5543	0x5F70	# <CJK>
0x5544	0x6F33	# <CJK>
0x5545	0x5F35	# <CJK>
0x5546	0x638C	# <CJK>
0x5547	0x6F32	# <CJK>
0x5548	0x6756	# <CJK>
0x5549	0x4E08	# <CJK>
0x554A	0x5E33	# <CJK>
0x554B	0x8CEC	# <CJK>
0x554C	0x4ED7	# <CJK>
0x554D	0x8139	# <CJK>
